epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.941,1.5313,2.13614,1.66505,0.43456,0.40581,0.2776,0.1417,2.24126,3.14964,2.40873,0.000664216,0.000664216,0.000664216
2,740.423,1.76065,2.00124,1.83324,0.39317,0.32258,0.23448,0.12059,2.40837,2.88672,2.61815,0.00131771,0.00131771,0.00131771
3,1152.91,1.75639,1.8974,1.82035,0.53137,0.29774,0.28905,0.1687,2.21796,2.52895,2.4134,0.001958,0.001958,0.001958
4,1569.34,1.75694,1.89617,1.83643,0.4293,0.39554,0.27393,0.14918,2.22165,2.52996,2.33768,0.0019406,0.0019406,0.0019406
5,1962.42,1.68376,1.79191,1.77516,0.48234,0.43226,0.28687,0.16214,2.16818,2.51192,2.34649,0.0019208,0.0019208,0.0019208
6,2371.81,1.63858,1.75755,1.73201,0.47411,0.44065,0.29663,0.16791,2.22457,2.40255,2.39449,0.001901,0.001901,0.001901
7,2746.89,1.62942,1.71319,1.72828,0.55129,0.48774,0.3458,0.20797,2.02382,2.40221,2.25016,0.0018812,0.0018812,0.0018812
8,3145.64,1.5928,1.68911,1.6971,0.47383,0.45484,0.28883,0.1465,2.17043,2.54675,2.40588,0.0018614,0.0018614,0.0018614
9,3588.58,1.55757,1.68233,1.69355,0.53628,0.47901,0.35299,0.21197,2.06509,2.31803,2.3055,0.0018416,0.0018416,0.0018416
10,4050.46,1.5384,1.61844,1.65811,0.53183,0.46968,0.37507,0.2322,2.12542,2.43104,2.29401,0.0018218,0.0018218,0.0018218
11,4512.06,1.50381,1.55146,1.65901,0.51673,0.50839,0.38725,0.24448,1.96245,2.36453,2.18279,0.001802,0.001802,0.001802
12,4986.47,1.4932,1.55179,1.63601,0.55949,0.5,0.34908,0.22187,1.92527,2.24463,2.23026,0.0017822,0.0017822,0.0017822
13,5559.8,1.49098,1.55705,1.62613,0.55686,0.4929,0.38645,0.25309,1.96839,2.30396,2.17421,0.0017624,0.0017624,0.0017624
14,6128.85,1.46392,1.53035,1.6317,0.57947,0.4871,0.37843,0.2401,1.96734,2.26654,2.23119,0.0017426,0.0017426,0.0017426
15,6724.75,1.44704,1.51836,1.61011,0.55091,0.47883,0.34897,0.21745,2.00488,2.25214,2.24306,0.0017228,0.0017228,0.0017228
16,7369.59,1.45724,1.47626,1.61052,0.58314,0.42968,0.3549,0.22609,1.94318,2.24367,2.25091,0.001703,0.001703,0.001703
17,8034.87,1.46239,1.51491,1.61234,0.52029,0.43161,0.32006,0.20494,1.92493,2.19403,2.216,0.0016832,0.0016832,0.0016832
18,8665.47,1.43105,1.51969,1.59657,0.62253,0.44065,0.40842,0.27097,1.97773,2.19616,2.21119,0.0016634,0.0016634,0.0016634
19,9286.77,1.43218,1.50185,1.60216,0.57843,0.49355,0.37338,0.23522,2.00374,2.21892,2.27315,0.0016436,0.0016436,0.0016436
20,9973.44,1.40974,1.47321,1.56788,0.55409,0.50516,0.39927,0.26283,1.90032,2.09093,2.13883,0.0016238,0.0016238,0.0016238
21,10692.7,1.38459,1.42618,1.55478,0.55875,0.49355,0.38758,0.24923,1.93304,2.10219,2.16933,0.001604,0.001604,0.001604
22,11410.5,1.40545,1.46869,1.56092,0.69107,0.45806,0.44437,0.28345,1.98486,2.21711,2.28257,0.0015842,0.0015842,0.0015842
23,12134.5,1.40304,1.43851,1.57132,0.58179,0.5367,0.38047,0.2439,1.8559,2.08766,2.07718,0.0015644,0.0015644,0.0015644
24,12879,1.34916,1.40482,1.52956,0.60407,0.49355,0.38392,0.24931,1.9239,2.23544,2.21971,0.0015446,0.0015446,0.0015446
25,13607.9,1.36703,1.43066,1.54323,0.72496,0.43533,0.41848,0.26949,2.06134,2.3387,2.35822,0.0015248,0.0015248,0.0015248
26,14484.7,1.39944,1.4582,1.56582,0.56186,0.52065,0.37037,0.23256,1.88186,2.11721,2.10877,0.001505,0.001505,0.001505
27,15339,1.34862,1.38817,1.52716,0.5813,0.51032,0.43312,0.28635,1.84829,2.06167,2.07159,0.0014852,0.0014852,0.0014852
28,16336.6,1.32998,1.36452,1.50564,0.57824,0.50258,0.41864,0.27823,1.83939,2.00963,2.06003,0.0014654,0.0014654,0.0014654
29,17291.5,1.3414,1.39241,1.52779,0.59471,0.49548,0.42101,0.27065,1.91174,2.13282,2.10957,0.0014456,0.0014456,0.0014456
30,18339.8,1.31537,1.36108,1.50347,0.56232,0.43806,0.34754,0.23086,1.88659,2.08363,2.14686,0.0014258,0.0014258,0.0014258
31,19558,1.33431,1.3706,1.50736,0.66443,0.47393,0.45359,0.30301,1.85483,2.08044,2.07295,0.001406,0.001406,0.001406
32,20725,1.32703,1.3576,1.50877,0.58995,0.48581,0.39805,0.26264,1.83475,2.12552,2.05788,0.0013862,0.0013862,0.0013862
33,21857.7,1.32254,1.37583,1.51519,0.64144,0.49355,0.45525,0.30017,1.83146,2.08,2.05123,0.0013664,0.0013664,0.0013664
34,23008.4,1.30489,1.37372,1.49739,0.57521,0.52387,0.36445,0.23293,1.88708,2.25975,2.16166,0.0013466,0.0013466,0.0013466
35,24276.6,1.30007,1.35618,1.50518,0.57793,0.51871,0.39675,0.25292,1.84241,2.13819,2.02049,0.0013268,0.0013268,0.0013268
36,26018.1,1.28813,1.33809,1.48458,0.59271,0.50581,0.42181,0.27181,1.79828,2.06438,2.02328,0.001307,0.001307,0.001307
37,27987.1,1.29751,1.35198,1.48867,0.5648,0.48968,0.34281,0.22244,1.78736,2.12704,2.11321,0.0012872,0.0012872,0.0012872
38,30355.1,1.25829,1.29611,1.45629,0.5914,0.52666,0.39566,0.25502,1.79425,2.07486,2.04423,0.0012674,0.0012674,0.0012674
39,32855.6,1.27707,1.33121,1.47884,0.60681,0.51548,0.4467,0.29904,1.82364,2.0208,2.05614,0.0012476,0.0012476,0.0012476
40,35587,1.27223,1.33617,1.47969,0.61935,0.4929,0.42678,0.28621,1.85513,2.06301,2.1077,0.0012278,0.0012278,0.0012278
41,38279.7,1.26043,1.29838,1.4716,0.58352,0.53097,0.36904,0.24145,1.79848,2.14081,2.0593,0.001208,0.001208,0.001208
42,41728,1.23761,1.2706,1.45136,0.58241,0.51032,0.41027,0.27347,1.81671,2.07617,2.07926,0.0011882,0.0011882,0.0011882
43,43866,1.24011,1.27434,1.44906,0.5824,0.52323,0.41205,0.28141,1.79627,2.0801,2.04156,0.0011684,0.0011684,0.0011684
44,47318.5,1.2195,1.26299,1.43559,0.58729,0.50065,0.37729,0.25148,1.77282,2.11879,2.01173,0.0011486,0.0011486,0.0011486
45,50489.9,1.23292,1.28878,1.44266,0.60093,0.4529,0.39268,0.26331,1.8649,2.13279,2.10358,0.0011288,0.0011288,0.0011288
46,53993.5,1.22974,1.28942,1.45057,0.67232,0.48978,0.46106,0.30084,1.86859,2.18208,2.06794,0.001109,0.001109,0.001109
47,57527.1,1.24151,1.30299,1.46191,0.58969,0.52258,0.38293,0.24755,1.8195,2.12193,2.1203,0.0010892,0.0010892,0.0010892
48,61430.7,1.23773,1.28145,1.45237,0.60254,0.54087,0.44677,0.30087,1.7986,2.00126,2.04727,0.0010694,0.0010694,0.0010694
